Jun 19 2015 01: +0,4.391,3216
Jun 20 2015 01: +0,4.463,4045
Jun 21 2015 01: +0,4.45,6409
Jun 22 2015 01: +0,4.557,3851
Jun 23 2015 01: +0,4.631,1922
Jun 24 2015 01: +0,4.564,2518
Jun 25 2015 01: +0,4.615,2016
Jun 26 2015 01: +0,4.587,2156
Jun 27 2015 01: +0,4.574,2790
Jun 28 2015 01: +0,4.48,2418
Jun 29 2015 01: +0,4.434,2454
Jun 30 2015 01: +0,4.482,1851
Jul 01 2015 01: +0,4.503,1832
Jul 02 2015 01: +0,4.488,2249
Jul 03 2015 01: +0,4.485,1843
Jul 04 2015 01: +0,4.477,1726
Jul 05 2015 01: +0,4.477,1898
Jul 06 2015 01: +0,4.486,2065
Jul 07 2015 01: +0,4.453,1851
Jul 08 2015 01: +0,4.475,1892
Jul 09 2015 01: +0,4.452,1644
Jul 10 2015 01: +0,4.507,1813
Jul 11 2015 01: +0,4.533,1639
Jul 12 2015 01: +0,4.57,1704
Jul 13 2015 01: +0,4.675,1765
Jul 14 2015 01: +0,4.502,1336
Jul 15 2015 01: +0,4.521,1466
Jul 16 2015 01: +0,4.535,1664
Jul 17 2015 01: +0,4.544,1606
Jul 18 2015 01: +0,4.727,1826
Jul 19 2015 01: +0,4.54,1782
Jul 20 2015 01: +0,4.505,1612
Jul 21 2015 01: +0,4.514,1823
Jul 22 2015 01: +0,4.553,1400
Jul 23 2015 01: +0,4.566,2019
Jul 24 2015 01: +0,4.526,1529
Jul 25 2015 01: +0,4.573,1418
Jul 26 2015 01: +0,4.587,1548
Jul 27 2015 01: +0,4.555,1849
Jul 28 2015 01: +0,4.738,1773
Jul 29 2015 01: +0,4.729,1692
Jul 30 2015 01: +0,4.768,1618
Jul 31 2015 01: +0,4.584,1447
Aug 01 2015 01: +0,4.626,1540
Aug 02 2015 01: +0,4.749,1495
Aug 03 2015 01: +0,4.741,1386
Aug 04 2015 01: +0,4.767,1813
Aug 05 2015 01: +0,4.899,1741
Aug 06 2015 01: +0,4.86,1278
Aug 07 2015 01: +0,5.007,1704
Aug 08 2015 01: +0,4.803,1719
Aug 09 2015 01: +0,4.819,1690
Aug 10 2015 01: +0,4.804,1745
Aug 11 2015 01: +0,4.816,1830
Aug 12 2015 01: +0,4.77,1534
Aug 13 2015 01: +0,4.94,1971
Aug 14 2015 01: +0,5.183,1751
Aug 15 2015 01: +0,4.867,1716
Aug 16 2015 01: +0,4.855,1450
Aug 17 2015 01: +0,4.936,2577
Aug 18 2015 01: +0,5.071,1858
Aug 19 2015 01: +0,5.218,1745
Aug 20 2015 01: +0,5.267,1495
Aug 21 2015 01: +0,5.164,1401
